Time[s],Error[code],Description
-67,184,Error Code: 184
-19.6,197,Error Code: 197
-19.6,122,Breath rejected; segment too short.
-19.6,209,Error Code: 209
-19.4,122,Breath rejected; segment too short.
-19.3,122,Breath rejected; segment too short.
-19.3,209,Error Code: 209
-19.1,209,Error Code: 209
-0.2,168,Error Code: 168
-0.2,168,Error Code: 168
-0.2,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
2.4,196,Error Code: 196
3.8,209,Error Code: 209
3.8,209,Error Code: 209
3.8,209,Error Code: 209
3.8,168,Error Code: 168
3.8,168,Error Code: 168
3.8,168,Error Code: 168
3.8,191,Error Code: 191
3.8,209,Error Code: 209
3.8,196,Error Code: 196
3.8,122,Breath rejected; segment too short.
3.8,122,Breath rejected; segment too short.
30.2,168,Error Code: 168
334.7,168,Error Code: 168
334.8,168,Error Code: 168
335.3,168,Error Code: 168
335.5,168,Error Code: 168
601.3,209,Error Code: 209
601.3,209,Error Code: 209
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,168,Error Code: 168
601.3,121,Breath rejected; too jittery.
601.3,197,Error Code: 197
601.3,122,Breath rejected; segment too short.
601.3,168,Error Code: 168
601.3,197,Error Code: 197
601.3,122,Breath rejected; segment too short.
601.3,209,Error Code: 209
601.3,209,Error Code: 209
604.6,122,Breath rejected; segment too short.
723.6,197,Error Code: 197
727.8,122,Breath rejected; segment too short.
727.9,209,Error Code: 209
728,122,Breath rejected; segment too short.
732.3,209,Error Code: 209
732.8,196,Error Code: 196
795,122,Breath rejected; segment too short.
799.2,122,Breath rejected; segment too short.
877,209,Error Code: 209
877.8,197,Error Code: 197
885.5,122,Breath rejected; segment too short.
910.1,56,Breathing less than valve trigger.
932,56,Breathing less than valve trigger.
944.5,197,Error Code: 197
946.6,209,Error Code: 209
946.7,209,Error Code: 209
951,191,Error Code: 191
975,56,Breathing less than valve trigger.
979.3,197,Error Code: 197
982.7,197,Error Code: 197
1013.1,197,Error Code: 197
1015.2,56,Breathing less than valve trigger.
1031.3,56,Breathing less than valve trigger.
1043.9,56,Breathing less than valve trigger.
1055.6,197,Error Code: 197
1073.4,197,Error Code: 197
1104.8,209,Error Code: 209
1105,196,Error Code: 196
1135.5,197,Error Code: 197
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,209,Error Code: 209
1201,209,Error Code: 209
1201,191,Error Code: 191
1255,209,Error Code: 209
1255.1,209,Error Code: 209
1264.3,209,Error Code: 209
1265.4,191,Error Code: 191
1266,209,Error Code: 209
1266.1,209,Error Code: 209
1275,209,Error Code: 209
1276.5,191,Error Code: 191
1285.4,73,Error Code: 73
1301.2,197,Error Code: 197
1326.2,73,Error Code: 73
1360.1,209,Error Code: 209
1363,73,Error Code: 73
1366.6,73,Error Code: 73
1376.9,73,Error Code: 73
1381.4,73,Error Code: 73
1383.5,73,Error Code: 73
1395.3,73,Error Code: 73
1401.9,73,Error Code: 73
1405.8,73,Error Code: 73
1412,73,Error Code: 73
1416.6,52,User piece too small.
1416.6,73,Error Code: 73
1423.2,73,Error Code: 73
1425.6,73,Error Code: 73
1432.1,209,Error Code: 209
1433.1,191,Error Code: 191
1451.5,209,Error Code: 209
1458.5,73,Error Code: 73
1460.5,73,Error Code: 73
1465,73,Error Code: 73
1470.9,73,Error Code: 73
1472.8,73,Error Code: 73
1476.8,73,Error Code: 73
1479.1,73,Error Code: 73
1483.4,73,Error Code: 73
1491.6,73,Error Code: 73
