Time[s],Error[code],Description
-164.9,197,Error Code: 197
-164.8,197,Error Code: 197
-162.8,53,User piece too big.
-162.8,197,Error Code: 197
-158.7,209,Error Code: 209
-154.9,191,Error Code: 191
-154.2,209,Error Code: 209
-152.8,197,Error Code: 197
-148.7,122,Breath rejected; segment too short.
-148.7,209,Error Code: 209
-148.7,209,Error Code: 209
-146.7,168,Error Code: 168
-146.5,168,Error Code: 168
-146.3,168,Error Code: 168
-106.7,197,Error Code: 197
-98.3,209,Error Code: 209
-95.7,197,Error Code: 197
-83.8,209,Error Code: 209
-81.9,197,Error Code: 197
-73.6,197,Error Code: 197
-70.8,209,Error Code: 209
-68.9,197,Error Code: 197
-64.9,197,Error Code: 197
-61.6,197,Error Code: 197
-59,209,Error Code: 209
-58.9,122,Breath rejected; segment too short.
-57.8,197,Error Code: 197
-55.6,197,Error Code: 197
-55.1,209,Error Code: 209
-54.9,122,Breath rejected; segment too short.
-43.7,197,Error Code: 197
0,197,Error Code: 197
0,122,Breath rejected; segment too short.
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,209,Error Code: 209
0,122,Breath rejected; segment too short.
0,197,Error Code: 197
0,191,Error Code: 191
0,197,Error Code: 197
0,209,Error Code: 209
0,197,Error Code: 197
0,53,User piece too big.
0,197,Error Code: 197
0,197,Error Code: 197
0,197,Error Code: 197
0,209,Error Code: 209
0,197,Error Code: 197
0,209,Error Code: 209
0,209,Error Code: 209
0,197,Error Code: 197
0,209,Error Code: 209
0,197,Error Code: 197
0,197,Error Code: 197
0,209,Error Code: 209
0,197,Error Code: 197
0,197,Error Code: 197
0,197,Error Code: 197
0,209,Error Code: 209
0,122,Breath rejected; segment too short.
0,197,Error Code: 197
0,209,Error Code: 209
0,168,Error Code: 168
300.7,209,Error Code: 209
384.5,209,Error Code: 209
386.4,191,Error Code: 191
575.2,209,Error Code: 209
582,168,Error Code: 168
582.1,168,Error Code: 168
586,197,Error Code: 197
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,197,Error Code: 197
603.9,197,Error Code: 197
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,168,Error Code: 168
603.9,209,Error Code: 209
603.9,191,Error Code: 191
603.9,209,Error Code: 209
603.9,191,Error Code: 191
603.9,209,Error Code: 209
603.9,209,Error Code: 209
603.9,168,Error Code: 168
603.9,168,Error Code: 168
611.6,168,Error Code: 168
611.9,209,Error Code: 209
613.7,191,Error Code: 191
616,209,Error Code: 209
617.5,191,Error Code: 191
618.4,209,Error Code: 209
901.1,209,Error Code: 209
901.1,209,Error Code: 209
901.1,168,Error Code: 168
901.1,168,Error Code: 168
901.1,168,Error Code: 168
1131,59,Breathing during ambient calibration. Hold your breath for 5 seconds.
1131,188,Error Code: 188
1131,59,Breathing during ambient calibration. Hold your breath for 5 seconds.
1131,59,Breathing during ambient calibration. Hold your breath for 5 seconds.
