Time[s],Error[code],Description
-127.5,120,Calibration: waiting for user to start breathing.
-120.4,168,Error Code: 168
-118.2,168,Error Code: 168
-118.2,168,Error Code: 168
-117.6,197,Error Code: 197
-117.4,122,Breath rejected; segment too short.
-92.9,168,Error Code: 168
-92.7,168,Error Code: 168
-92.5,168,Error Code: 168
-92.4,168,Error Code: 168
-92.4,168,Error Code: 168
-92.3,168,Error Code: 168
-91.7,121,Breath rejected; too jittery.
-1.1,190,Error Code: 190
-1.1,191,Error Code: 191
0,191,Error Code: 191
0,190,Error Code: 190
12.4,209,Error Code: 209
25.5,209,Error Code: 209
27.4,191,Error Code: 191
61.1,209,Error Code: 209
63,191,Error Code: 191
64.8,209,Error Code: 209
67.7,191,Error Code: 191
73,56,Breathing less than valve trigger.
74.5,209,Error Code: 209
74.7,209,Error Code: 209
102.7,209,Error Code: 209
105.6,191,Error Code: 191
119.9,209,Error Code: 209
123.7,209,Error Code: 209
123.9,209,Error Code: 209
124.3,197,Error Code: 197
124.6,122,Breath rejected; segment too short.
127.9,209,Error Code: 209
128,209,Error Code: 209
130.5,191,Error Code: 191
136.3,209,Error Code: 209
138.4,191,Error Code: 191
147.7,209,Error Code: 209
149.2,191,Error Code: 191
159,209,Error Code: 209
159,209,Error Code: 209
161.4,191,Error Code: 191
171.4,209,Error Code: 209
173.5,191,Error Code: 191
180.7,197,Error Code: 197
184,197,Error Code: 197
184.1,209,Error Code: 209
186,191,Error Code: 191
187.9,209,Error Code: 209
189.9,191,Error Code: 191
191.9,209,Error Code: 209
193.8,56,Breathing less than valve trigger.
193.8,191,Error Code: 191
198.3,197,Error Code: 197
213.6,209,Error Code: 209
213.6,209,Error Code: 209
215.9,191,Error Code: 191
217.7,209,Error Code: 209
219.7,191,Error Code: 191
238.7,209,Error Code: 209
240.6,191,Error Code: 191
242.7,209,Error Code: 209
245.1,56,Breathing less than valve trigger.
245.1,191,Error Code: 191
250.9,209,Error Code: 209
251,209,Error Code: 209
254.1,191,Error Code: 191
255.7,209,Error Code: 209
257.9,191,Error Code: 191
263.7,209,Error Code: 209
265.5,191,Error Code: 191
267.1,209,Error Code: 209
267.2,122,Breath rejected; segment too short.
269.2,73,Error Code: 73
278.7,197,Error Code: 197
286.8,209,Error Code: 209
286.9,209,Error Code: 209
288.6,191,Error Code: 191
301.1,209,Error Code: 209
301.3,209,Error Code: 209
302.8,191,Error Code: 191
305.5,209,Error Code: 209
305.5,197,Error Code: 197
305.5,122,Breath rejected; segment too short.
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,209,Error Code: 209
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,191,Error Code: 191
305.5,209,Error Code: 209
305.5,168,Error Code: 168
305.5,191,Error Code: 191
305.5,56,Breathing less than valve trigger.
305.5,209,Error Code: 209
305.5,209,Error Code: 209
305.5,209,Error Code: 209
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,168,Error Code: 168
305.5,191,Error Code: 191
398,122,Breath rejected; segment too short.
398,209,Error Code: 209
398.2,122,Breath rejected; segment too short.
440.1,197,Error Code: 197
500.4,197,Error Code: 197
516.1,197,Error Code: 197
522.1,197,Error Code: 197
541.9,197,Error Code: 197
554.2,197,Error Code: 197
641.5,197,Error Code: 197
650.6,197,Error Code: 197
663.3,197,Error Code: 197
668.9,197,Error Code: 197
720.6,197,Error Code: 197
721.6,209,Error Code: 209
723.2,191,Error Code: 191
730.9,197,Error Code: 197
761.5,56,Breathing less than valve trigger.
762.7,209,Error Code: 209
763.6,197,Error Code: 197
763.6,122,Breath rejected; segment too short.
773,197,Error Code: 197
783,197,Error Code: 197
801.4,197,Error Code: 197
803.7,197,Error Code: 197
825.2,197,Error Code: 197
837.4,197,Error Code: 197
874.9,197,Error Code: 197
